### Module positions - created on 10/22/2013 6:27:08 PM ###
### Printed by Pcbnew version pcbnew (2013-07-07 BZR 4022)-stable
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
R56      0R_0402_NF       R_SM0402          140.4000  -123.4000     270.0    B.Cu
R57      0R_0402_NF       R_SM0402          139.4000  -123.4000     270.0    B.Cu
R58      0R_0402          R_SM0402          146.8000  -125.0000     180.0    B.Cu
R59      0R_0402          R_SM0402          145.8000  -126.0000     180.0    B.Cu
R60      0R_0402          R_SM0402          146.9100  -123.8900     180.0    B.Cu
R61      0R_0402          R_SM0402          145.8000  -127.0000     180.0    B.Cu
R62      0R_0402          R_SM0402          145.8000  -128.0000     180.0    B.Cu
R63      0R_0402          R_SM0402          145.8000  -129.0000     180.0    B.Cu
R64      0R_0402          R_SM0402          145.8000  -130.0000     180.0    B.Cu
R65      330R_0402        R_SM0402          153.8000  -124.4000       0.0    B.Cu
R66      47K_0402         R_SM0402          156.1000  -124.5250     180.0    B.Cu
R67      47K_0402         R_SM0402          156.1000  -125.4250     180.0    B.Cu
R68      0R_0402          R_SM0402          147.8100  -133.3000       0.0    B.Cu
R69      0R_0402          R_SM0402          147.8700  -132.0400       0.0    B.Cu
R70      0R_0402          R_SM0402          147.5500  -129.8900      90.0    B.Cu
R71      0R_0402_NF       R_SM0402          145.6100  -133.3000       0.0    B.Cu
R72      0R_0402_NF       R_SM0402          145.6200  -132.0500       0.0    B.Cu
R73      0R_0402_NF       R_SM0402          146.2000  -131.1000       0.0    B.Cu
R74      0R_0402_NF       R_SM0402          161.9400  -117.1700     270.0    B.Cu
R75      0R_0402_NF       R_SM0402          163.4100  -117.1600     270.0    B.Cu
R76      0R_0402          R_SM0402          149.5000  -131.3800       0.0    B.Cu
R77      0R_0402          R_SM0402          149.9100  -132.6200       0.0    B.Cu
R81      0R_0402          R_SM0402          157.5500   -72.2600     180.0    B.Cu
R82      232R_0402        R_SM0402          156.6400   -69.8400     180.0    B.Cu
R83      100R_0402        R_SM0402          154.5000   -69.8400       0.0    B.Cu
R91      0R_0402_NF       R_SM0402          158.5900  -120.3600     180.0    B.Cu
U1       RACON_TXCO       SMD_TXCO          124.4000  -116.6000      90.0    B.Cu
U2       CDCV304PW        TSSOP-8           143.0000  -104.8000     180.0    B.Cu
U3       SI5351C          QFN20             142.1600   -88.4900     270.0    B.Cu
U4       SN74LVC1G04DBVR  SOT23-5           145.5400   -78.2200     180.0    B.Cu
U5       SN74LVC1G04DBVR  SOT23-5           139.7500   -78.2600     180.0    B.Cu
U8       MIC37122Y_ADJ_SO SOIC-8            159.6800   -66.5100      90.0    B.Cu
U9       SN74LVC162244A   TSSOP-48          160.1000   -92.7600       0.0    B.Cu
U10      SN74LVC162244A   TSSOP-48          160.1700  -111.9400       0.0    B.Cu
U11      ADF4002          QFN20             124.4250  -128.4750     180.0    B.Cu
U12      RACON_TXCO_PLUTO SMD_TXCO_Pluto+   124.4000  -116.6000     270.0    B.Cu
U13      SN74LVC162244A   TSSOP-48          125.0000   -98.2000     180.0    B.Cu
U14      SN74LVC162244A   TSSOP-48          125.0000   -81.9500     180.0    B.Cu
U15      AT90USB162-16AU  QFN32             151.6000  -128.0000     180.0    B.Cu
U16      LP5900SD-3.3     SC70              166.5500  -125.0750     180.0    B.Cu
U17      SN74LVC1G04DBVR  SOT23-5           160.0000   -75.6000     180.0    B.Cu
U18      SN74LVC1G04DBVR  SOT23-5           165.4000   -75.6000     180.0    B.Cu
X1       8MHZ             HC49_4H_SMX       165.7500  -131.2250       0.0    B.Cu
## End
