### Module positions - created on 5/31/2013 12:12:40 PM ###
### Printed by Pcbnew version pcbnew (2013-03-19 BZR 4004)-stable
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
R58      220R/100MHz      RL_SM0805         147.3500  -125.4000     180.0    Back.Cu
R62      4.7K             R_SM0402          165.6400  -100.7700      90.0    Back.Cu
R63      4.7K             R_SM0402          164.3750   -96.1250     270.0    Back.Cu
R65      10K              R_SM0402          149.2000  -118.1000      90.0    Back.Cu
R66      10K              R_SM0402          147.6000  -118.1000      90.0    Back.Cu
R68      6.04K/1%         R_SM0402          137.8000  -112.8000       0.0    Back.Cu
R69      200/1%           R_SM0402          148.4000  -118.1000      90.0    Back.Cu
R80      10K              R_SM0402          156.3000  -116.1000      90.0    Back.Cu
R81      430              R_SM0402          155.0000  -116.1000      90.0    Back.Cu
R82      30.1K            R_SM0402          159.3000  -120.1000     180.0    Back.Cu
R83      1K               R_SM0402          139.9000  -125.8500      90.0    Back.Cu
R84      3.57K            R_SM0402          143.6200  -121.5800       0.0    Back.Cu
R85      1.15K            R_SM0402          143.6200  -120.1400     180.0    Back.Cu
R86      1K               R_SM0402          166.2500  -123.9000      90.0    Back.Cu
R87      750              R_SM0402          163.4700  -125.0600     180.0    Back.Cu
R88      470              R_SM0402          162.5500  -122.9500     180.0    Back.Cu
R89      3K               R_SM0402          113.5000  -117.4500     180.0    Back.Cu
R90      1K6              R_SM0402          111.8500  -116.8500      90.0    Back.Cu
R91      10K              R_SM0402          117.7100  -117.9500       0.0    Back.Cu
R92      0                R_SM0402          116.7500  -116.9500     180.0    Back.Cu
R94      2K2              R_SM0402          132.0500  -118.1500     180.0    Back.Cu
R95      2K2              R_SM0402          132.0500  -111.7000     180.0    Back.Cu
R96      2K2              R_SM0402          111.2500  -113.5500     270.0    Back.Cu
R97      0                R_SM0402          120.3900   -96.3700      90.0    Back.Cu
R99      2K2              R_SM0402          110.9200  -126.5400      90.0    Back.Cu
R100     0                R_SM0402          119.0000  -114.0000       0.0    Back.Cu
R102     0                R_SM0402          119.6900   -99.4300      90.0    Back.Cu
R103     0                R_SM0402          119.7200  -105.6700      90.0    Back.Cu
R104     0                R_SM0402          119.5000  -116.7000      90.0    Back.Cu
R105     0                R_SM0402          119.7500  -102.9300      90.0    Back.Cu
R122     0                R_SM0402          132.0500  -116.7000     180.0    Back.Cu
R123     0                R_SM0402          132.0500  -115.4000     180.0    Back.Cu
R124     0                R_SM0402          132.0500  -112.9500     180.0    Back.Cu
R125     0                R_SM0402          132.0500  -114.1000     180.0    Back.Cu
TP1      TP               TP                154.1100  -109.8900       0.0    Back.Cu
TP2      TP               TP                143.8900   -93.9100       0.0    Back.Cu
TP3      TP               TP                138.7100  -105.8100       0.0    Back.Cu
TP4      TP               TP                140.8700   -91.9900       0.0    Back.Cu
U4       M25P40           SOIC-8            165.0000  -107.1200     180.0    Back.Cu
U6       M25P40           SOIC-8            165.0000   -89.3100       0.0    Back.Cu
U8       TPS74801SON      SON-10            143.0500  -124.8500     180.0    Back.Cu
U9       TPS76801QD       SOIC-8            154.3900  -121.3900     180.0    Back.Cu
U11      CDCV304PW        TSSOP-8           116.0700  -126.6600      90.0    Back.Cu
U12      SI5356           QFN24             114.9500  -113.7500      90.0    Back.Cu
U13      SN74LVC1G04DBVR  SOT23-5           116.7200   -98.0200     180.0    Back.Cu
U14      SN74LVC1G04DBVR  SOT23-5           116.7400  -104.4200     180.0    Back.Cu
U15      SN74LVC1G04DBVR  SOT23-5           116.1000  -121.7200      90.0    Back.Cu
X3       CONN_2X10        TH_PINHD-10X2_HR  144.6000   -73.2000       0.0    Back.Cu
## End
